ID,latitude,longitude,altitude,division,district,upazila,union,area,b2id,site_type,registered,locationssid,block_id,m_id,households,population,log10pop,d4_origin_state,d4_origin_state_rakhine,d5_origin_district,healthWalk_enc,priority1,priority2,priority3,l_fuel,l_education,l_food,l_healthcare,l_jobs,mobility,l_nfis,pss,l_safety,l_sanitation,l_shelter,skills,l_water,other
1,20.821388,92.291458,-46.299530,Chattogram,Cox's Bazar,Teknaf,Sabrang,HCU,HCU_3068,Dispersed,No,CXB-001,CXB-001-001,M-ID-0001,7,40,1.602060,Rakhine,1,Maungdaw,31 mins to 1 hour walk,Food assistance,Cooking fuel and firewood,Job opportunities,2,0,1,0,3,0,0,0,0,0,0,0,0,0
2,21.272074,92.055840,-39.678463,Chattogram,Cox's Bazar,Ukhia,Jalia Palong,HCU,HCU_3033,Dispersed,No,CXB-005,CXB-005-001,M-ID-0005,37,129,2.110590,Rakhine,1,Maungdaw,16 to 30 mins walk,Cooking fuel and firewood,Job opportunities,Education for children,1,3,0,0,2,0,0,0,0,0,0,0,0,0
3,21.141794,92.148941,-47.847630,Chattogram,Cox's Bazar,Ukhia,Palong Khali,HCU,HCU_3085,Dispersed,No,CXB-006,CXB-006-001,M-ID-0006,50,221,2.344392,Rakhine,1,Maungdaw,16 to 30 mins walk,Food assistance,Cooking fuel and firewood,Healthcare,2,0,1,3,0,0,0,0,0,0,0,0,0,0
4,21.219084,92.131645,-27.795845,Chattogram,Cox's Bazar,Ukhia,Raja Palong,HCU,HCU_3057,Dispersed,No,CXB-007,CXB-007-001,M-ID-0007,25,130,2.113943,Rakhine,1,Maungdaw,More than 1 hour walk,Food assistance,Sanitation,Education for children,0,3,1,0,0,0,0,0,0,2,0,0,0,0
5,21.150232,92.149910,-44.039845,Chattogram,Cox's Bazar,Ukhia,Palong Khali,HCU,HCU_3057,Dispersed,No,CXB-008,CXB-008-001,M-ID-0008,25,112,2.049218,Rakhine,1,Maungdaw,31 mins to 1 hour walk,Food assistance,Cooking fuel and firewood,Healthcare,2,0,1,3,0,0,0,0,0,0,0,0,0,0
6,21.234413,92.165985,-25.173828,Chattogram,Cox's Bazar,Ukhia,Raja Palong,HCU,HCU_3063,Dispersed,No,CXB-009,CXB-009-001,M-ID-0009,10,54,1.732394,Rakhine,1,Maungdaw,16 to 30 mins walk,Cooking fuel and firewood,Healthcare,Shelter,1,0,0,2,0,0,0,0,0,0,3,0,0,0
7,21.142111,92.081779,-39.363918,Chattogram,Cox's Bazar,Ukhia,Jalia Palong,HCU,HCU_3057,Dispersed,No,CXB-010,CXB-010-001,M-ID-0010,50,230,2.361728,Rakhine,1,Maungdaw,More than 1 hour walk,Food assistance,Cooking fuel and firewood,Healthcare,2,0,1,3,0,0,0,0,0,0,0,0,0,0
8,21.273983,92.082275,-48.950756,Chattogram,Cox's Bazar,Ukhia,Jalia Palong,HCU,HCU_3057,Dispersed,No,CXB-013,CXB-013-001,M-ID-0013,20,106,2.025306,Rakhine,1,Maungdaw,31 mins to 1 hour walk,Food assistance,Cooking fuel and firewood,Sanitation,2,0,1,0,0,0,0,0,0,3,0,0,0,0
9,21.071405,92.141251,-48.386261,Chattogram,Cox's Bazar,Teknaf,Baharchhara,SCS,SCS_3417,Coll_w_host,No,CXB-032,CXB-014-001,M-ID-0014,135,570,2.755875,Rakhine,1,Maungdaw,15 mins walk or less,Cooking fuel and firewood,Sanitation,Job opportunities,1,0,0,0,3,0,0,0,0,2,0,0,0,0
10,21.338680,92.115761,-45.327568,Chattogram,Cox's Bazar,Ramu,Khuniapalong,HCU,HCU_3044,Dispersed,No,CXB-016,CXB-016-001,M-ID-0016,15,67,1.826075,Rakhine,1,Maungdaw,31 mins to 1 hour walk,Sanitation,Education for children,Healthcare,0,2,0,3,0,0,0,0,0,1,0,0,0,0
11,20.976425,92.247185,-40.782539,Chattogram,Cox's Bazar,Teknaf,Nhilla,SCS,SCS_3387,Coll_w_host,No,CXB-233,CXB-017-001,M-ID-0017,107,385,2.585461,Rakhine,1,Maungdaw,15 mins walk or less,Safety and security,Water,Cooking fuel and firewood,3,0,0,0,0,0,0,0,1,0,0,0,2,0
12,20.978109,92.248108,-44.892555,Chattogram,Cox's Bazar,Teknaf,Nhilla,SCS,SCS_3506,Coll_w_host,No,CXB-017,CXB-017-002,M-ID-0018,103,385,2.585461,Rakhine,1,Maungdaw,16 to 30 mins walk,Food assistance,Shelter,Cooking fuel and firewood,3,0,1,0,0,0,0,0,0,0,2,0,0,0
13,20.978569,92.246674,-38.411282,Chattogram,Cox's Bazar,Teknaf,Nhilla,SCS,SCS_3391,Coll_w_host,No,CXB-017,CXB-017-003,M-ID-0019,126,457,2.659916,Rakhine,1,Maungdaw,16 to 30 mins walk,Food assistance,Water,Cooking fuel and firewood,3,0,1,0,0,0,0,0,0,0,0,0,2,0
