Departement	District	VILLAGES	Lat	Long
cuvette	Ntokou	Obembo	#N/A	#N/A
cuvette	Ntokou	Obambou	#N/A	#N/A
Likouala	Liranga	Yeleyele	#N/A	#N/A
Likouala	Liranga	Yabayeleyele	#N/A	#N/A
Likouala	Dongou	Talanamisso	#N/A	#N/A
Likouala	Liranga	Nongo	#N/A	#N/A
Likouala	Dongou	Nianga Kake	#N/A	#N/A
Likouala	Dongou	Ndzokou	#N/A	#N/A
Likouala	Liranga	Ndoumba	#N/A	#N/A
Likouala	Bouanela	Moutembou	#N/A	#N/A
Likouala	Epena	Moumenguele	#N/A	#N/A
Likouala	Enyelle	Monokoboli	#N/A	#N/A
Likouala	Liranga	Mongombete	#N/A	#N/A
Likouala	Liranga	Moliangolo	#N/A	#N/A
Likouala	betou	Mogbala	#N/A	#N/A
Likouala	Bouanela	Mobéyé (village autochtones)	#N/A	#N/A
Likouala	betou	Mawangui	#N/A	#N/A
Likouala	Dongou	Mankolo	#N/A	#N/A
Likouala	Liranga	Makolo	#N/A	#N/A
Likouala	betou	Loumbe	#N/A	#N/A
Likouala	Liranga	Lissala Ngomba	#N/A	#N/A
Likouala	Liranga	Ligoyi	#N/A	#N/A
Likouala	Liranga	Lignete	#N/A	#N/A
Likouala	Dongou	Kpeta	#N/A	#N/A
Likouala	betou	Itele	#N/A	#N/A
Likouala	Liranga	Ikongolo	#N/A	#N/A
Likouala	betou	Gaga	#N/A	#N/A
Likouala	Liranga	Etima	#N/A	#N/A
Likouala	Epena	Epena centre (4 quartiers)	#N/A	#N/A
Likouala	Epena	Elenda	#N/A	#N/A
Likouala	Dongou	Bossessengue	#N/A	#N/A
Likouala	Dongou	Bokpende	#N/A	#N/A
Likouala	Impfondo	Bokoumba	#N/A	#N/A
Likouala	Impfondo	Bogboko	#N/A	#N/A
Likouala	Impfondo	Boboukou	#N/A	#N/A
Likouala	Liranga	Bissobe	#N/A	#N/A
Likouala	Bouanela	Bete-Ntolo	#N/A	#N/A
Likouala	Liranga	Bangala	#N/A	#N/A
Likouala	betou	Afrique du sud	#N/A	#N/A
Likouala	Bouanela		#N/A	#N/A
