"adminCode1","lng","geonameId","toponymName","countryId","fcl","population","countryCode","name","fclName","adminCodes1.ISO3166_2","countryName","fcodeName","adminName1","lat","fcode","Village","Departement","District"
"","","","","","","","","","","","","","","","","","",""
"30","23.54554","203444","Yetefela","203312","P","0","CD","Yetefela","city, village,...","TO","DR Congo","populated place","Tshopo","-0.33399","PPL","Yeleyele","Likouala","Liranga"
"31","23.2","203477","Yemelese","203312","P","0","CD","Yemelese","city, village,...","TU","DR Congo","populated place","Tshuapa","-1.66667","PPL","Yeleyele","Likouala","Liranga"
"18","21.8","203506","Yeke-Yeke","203312","P","0","CD","Yeke-Yeke","city, village,...","KS","DR Congo","populated place","Kasai","-2.55","PPL","Yeleyele","Likouala","Liranga"
"13","23.95948","8239195","Yekuyale","203312","P","0","CD","Yekuyale","city, village,...","BU","DR Congo","populated place","Bas-Uele","4.5171","PPL","Yeleyele","Likouala","Liranga"
"21","25.55718","206948","Nogo","203312","P","0","CD","Nogo","city, village,...","LO","DR Congo","populated place","Lomami","-5.13659","PPL","Nongo","Likouala","Liranga"
"31","23.51667","206939","Nongu","203312","P","0","CD","Nongu","city, village,...","TU","DR Congo","populated place","Tshuapa","-1.31667","PPL","Nongo","Likouala","Liranga"
"31","21.8","206949","Nongo","203312","P","0","CD","Nongo","city, village,...","TU","DR Congo","populated place","Tshuapa","-2.26667","PPL","Nongo","Likouala","Liranga"
"31","23.98441","206950","Nongo","203312","P","0","CD","Nongo","city, village,...","TU","DR Congo","populated place","Tshuapa","-1.41028","PPL","Nongo","Likouala","Liranga"
"31","20.59238","206951","Nongo","203312","P","0","CD","Nongo","city, village,...","TU","DR Congo","populated place","Tshuapa","-1.19708","PPL","Nongo","Likouala","Liranga"
"31","22.66667","206952","Nongo","203312","P","0","CD","Nongo","city, village,...","TU","DR Congo","populated place","Tshuapa","-0.86667","PPL","Nongo","Likouala","Liranga"
"13","25.05993","8242783","Nongo","203312","P","0","CD","Nongo","city, village,...","BU","DR Congo","populated place","Bas-Uele","4.21609","PPL","Nongo","Likouala","Liranga"
"08","14.62762","8325709","Nongo","203312","P","0","CD","Nongo","city, village,...","BC","DR Congo","populated place","Bas-Congo","-5.82605","PPL","Nongo","Likouala","Liranga"
"31","21.98333","206942","Nongooka","203312","P","0","CD","Nongooka","city, village,...","TU","DR Congo","populated place","Tshuapa","-0.6","PPL","Nongo","Likouala","Liranga"
"31","22.21667","208720","Mongo","203312","P","0","CD","Mongo","city, village,...","TU","DR Congo","populated place","Tshuapa","-1","PPL","Nongo","Likouala","Liranga"
"29","27.22381","206958","Nonga","203312","P","0","CD","Nonga","city, village,...","TA","DR Congo","populated place","Tanganyika","-5.25129","PPL","Nongo","Likouala","Liranga"
"14","28.54803","206959","Nondo","203312","P","0","CD","Nondo","city, village,...","HK","DR Congo","populated place","Haut-Katanga","-7.875","PPL","Nongo","Likouala","Liranga"
"20","19.86074","2311974","Nianga-Kikoso","203312","P","0","CD","Nianga-Kikoso","city, village,...","KL","DR Congo","populated place","Kwilu","-5.79988","PPL","Nianga Kake","Likouala","Dongou"
"20","19.87481","8276576","Nianga-Kikuka","203312","P","0","CD","Nianga-Kikuka","city, village,...","KL","DR Congo","populated place","Kwilu","-5.77921","PPL","Nianga Kake","Likouala","Dongou"
"08","14.17078","8541717","Nianga-Goyo","203312","P","0","CD","Nianga-Goyo","city, village,...","BC","DR Congo","populated place","Bas-Congo","-4.5223","PPL","Nianga Kake","Likouala","Dongou"
"22","22.35055","923194","Ndumba","203312","P","0","CD","Ndumba","city, village,...","LU","DR Congo","populated place","Lualaba","-10.71362","PPL","Ndoumba","Likouala","Liranga"
"22","22.0647","8541961","Ndumba","203312","P","0","CD","Ndumba","city, village,...","LU","DR Congo","populated place","Lualaba","-9.73041","PPL","Ndoumba","Likouala","Liranga"
"23","22.27717","8285154","Ndumba","203312","P","0","CD","Ndumba","city, village,...","KC","DR Congo","populated place","Kasai-Central","-6.97654","PPL","Ndoumba","Likouala","Liranga"
"23","22.51405","8285223","Ndumba","203312","P","0","CD","Ndumba","city, village,...","KC","DR Congo","populated place","Kasai-Central","-6.89121","PPL","Ndoumba","Likouala","Liranga"
"22","23.98294","8462158","Ndumba","203312","P","0","CD","Ndumba","city, village,...","LU","DR Congo","populated place","Lualaba","-9.47691","PPL","Ndoumba","Likouala","Liranga"
"18","21.34056","8327318","Ndumba","203312","P","0","CD","Ndumba","city, village,...","KS","DR Congo","populated place","Kasai","-6.47715","PPL","Ndoumba","Likouala","Liranga"
"22","22.48846","923204","Ndjamba","203312","P","0","CD","Ndjamba","city, village,...","LU","DR Congo","populated place","Lualaba","-10.50816","PPL","Ndoumba","Likouala","Liranga"
"11","29.13872","8327977","Ndoluma","203312","P","0","CD","Ndoluma","city, village,...","NK","DR Congo","populated place","Nord Kivu","-0.30456","PPL","Ndoumba","Likouala","Liranga"
"21","25.00174","212789","Kipase Deuxième","203312","P","0","CD","Kipase Deuxième","city, village,...","LO","DR Congo","populated place","Lomami","-6.47707","PPL","Ndoumba","Likouala","Liranga"
"22","22.67092","8463674","Ndjamba","203312","P","0","CD","Ndjamba","city, village,...","LU","DR Congo","populated place","Lualaba","-10.32607","PPL","Ndoumba","Likouala","Liranga"
"23","21.9611","207350","Dombi","203312","P","0","CD","Dombi","city, village,...","KC","DR Congo","populated place","Kasai-Central","-7.59213","PPL","Ndoumba","Likouala","Liranga"
"23","22.53354","8285243","Ndumbu","203312","P","0","CD","Ndumbu","city, village,...","KC","DR Congo","populated place","Kasai-Central","-6.99824","PPL","Ndoumba","Likouala","Liranga"
"23","22.5749","8285247","Ndumbu","203312","P","0","CD","Ndumbu","city, village,...","KC","DR Congo","populated place","Kasai-Central","-6.9623","PPL","Ndoumba","Likouala","Liranga"
"19","17.5095","2312111","Ndamba","203312","P","0","CD","Ndamba","city, village,...","KG","DR Congo","populated place","Kwango","-6.33728","PPL","Ndoumba","Likouala","Liranga"
"08","15.25322","8254913","Ndamba","203312","P","0","CD","Ndamba","city, village,...","BC","DR Congo","populated place","Bas-Congo","-5.47251","PPL","Ndoumba","Likouala","Liranga"
"23","22.17769","8283546","Ndumbi","203312","P","0","CD","Ndumbi","city, village,...","KC","DR Congo","populated place","Kasai-Central","-6.23421","PPL","Ndoumba","Likouala","Liranga"
"22","22.22394","8461668","Ndemba","203312","P","0","CD","Ndemba","city, village,...","LU","DR Congo","populated place","Lualaba","-9.8634","PPL","Ndoumba","Likouala","Liranga"
"25","22.10238","208974","Monzamboli","203312","P","0","CD","Monzamboli","city, village,...","MO","DR Congo","populated place","Mongala","2.4737","PPL","Monokoboli","Likouala","Enyelle"
"24","17.87692","2312568","Mongobele","203312","P","0","CD","Mongobele","city, village,...","MN","DR Congo","populated place","Mai-Ndombe","-2.79857","PPL","Mongombete","Likouala","Liranga"
"25","21.08175","208713","Mongombo-Ngale","203312","P","0","CD","Mongombo-Ngale","city, village,...","MO","DR Congo","populated place","Mongala","2.41194","PPL","Mongombete","Likouala","Liranga"
"31","22.7533","208760","Mondombe","203312","P","0","CD","Mondombe","city, village,...","TU","DR Congo","populated place","Tshuapa","-0.77802","PPL","Mongombete","Likouala","Liranga"
"28","18.77579","2312567","Mongomba","203312","P","0","CD","Mongomba","city, village,...","SU","DR Congo","populated place","Sud-Ubangi","3.62286","PPL","Mongombete","Likouala","Liranga"
"12","28.10893","8441477","Mongembe","203312","P","0","CD","Mongembe","city, village,...","SK","DR Congo","populated place","South Kivu","-3.94476","PPL","Mongombete","Likouala","Liranga"
"25","21.53596","8248576","Mondombe","203312","P","0","CD","Mondombe","city, village,...","MO","DR Congo","populated place","Mongala","1.85518","PPL","Mongombete","Likouala","Liranga"
"10","26.36149","208851","Mombala","203312","P","0","CD","Mombala","city, village,...","MA","DR Congo","populated place","Maniema","-3.70689","PPL","Mogbala","Likouala","betou"
"28","18.15747","2313078","Mangbwala","203312","P","0","CD","Mangbwala","city, village,...","SU","DR Congo","populated place","Sud-Ubangi","2.23479","PPL","Mogbala","Likouala","betou"
"24","17.51526","2317038","Bobala","203312","P","0","CD","Bobala","city, village,...","MN","DR Congo","populated place","Mai-Ndombe","-2.55633","PPL","Mogbala","Likouala","betou"
